No.;Quantity;Comment;Designator;MPN;Footprint;Part Name;LCSC;Category;ANNOTATION
29;1;18GHz;RF1;733910083;SMA-TH_733910083;内孔 SMA 弯头;C493445;Connectors:Coaxial Connectors (RF);
30;2;TS3425UA-3x4x2.5-160;SW1,SW2;TS3425UA-3x4x2.5-160;SW-SMD_4P-L4.2-W3.4_HX-TS3425PA-250GF-B;4.2mm*3.2mm 12V 50mA;C51927439;Switches:Tactile Switches;
31;1;AP63203WU-7;U1;AP63203WU-7;TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL;降压型 2A 3.8V~32V;C780769;Power Management (PMIC):DC-DC Converters;
32;1;4.7uH;U2;BCIHP0420SC-4R7M;IND-SMD_L4.4-W4.2;4.7uH ±20% 3A;C2921168;Inductors, Coils, Chokes:Inductors (SMD);
33;1;TPS7A2018PDBVR;U3;TPS7A2018PDBVR;TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL;具有高 PSRR 的 300mA、超低噪声、低 IQ、低压降 (LDO) 线性稳压器;C963430;Power Management (PMIC):Voltage Regulators - Linear, Low Drop Out (LDO) Regulators;
34;1;24AA025E48T-I/OT;U4;24AA025E48T-I/OT;SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR;带EUI-48或EUI-64节点标识的2K I2C串行EEPROM;C129895;Memory:EEPROM;EXACT MATCH
35;1;SI4684-A10-GM;U6;SI4684-A10-GM;QFN-48_L7.0-W7.0-P0.50-TL-EP5.3;单芯片调频/数字音频广播/增强型数字音频广播收音机接收器;C1526088;RF and Wireless:RF Transceiver ICs;EXACT MATCH
36;1;19.2MHz;U7;ABM8-19.200MHZ-10-1-U-T;CRYSTAL-SMD_4P-L3.2-W2.5-BL;19.2MHz ±10ppm 10pF;C1986852;Crystals, Oscillators, Resonators:Crystals;EXACT MATCH
37;1;2.4GHz;U8;ESP32-S3-WROOM-1-N16;WIRELM-SMD_ESP32-S3-WROOM-1;不带固件 通用型Wi-Fi+低功耗蓝牙MCU模组;C2913199;IoT/Communication Modules:WiFi Modules;EXACT MATCH
38;1;ADAU1701JSTZ-RL;U9;ADAU1701JSTZ-RL;LQFP-48_L7.0-W7.0-P0.50-LS9.0-TL;28-/56位音频处理器;C389590;Interface:Audio Interface ICs;EXACT MATCH
40;1;TYPE-C-31-M-12;USBC1;TYPE-C-31-M-12;USB-C_SMD-TYPE-C-31-M-12_1;Type-C 母 卧贴;C165948;Connectors:USB Connectors;
41;1;12.288MHz;X1;XTM32012288JT00351001;CRYSTAL-SMD_4P-L3.2-W2.5-BL;12.288MHz 4P 3225 12pF ±10ppm -20~70℃（±10ppm）;C41383238;Crystals, Oscillators, Resonators:Crystals;EXACT MATCH
